Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Aaron Wan-Bissaka,eng ENG,West Ham,DF,27-165,33,32,2884,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,,,,,31.3,0.16,0.13,15.1,1321,80.5,6928,89.9,81.1,46.0,30,89,32,11,132,85,2.65,8,0.25,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,101,59,13,31,21,1174,150,22,25,4,70,163,22,30,42.3,3
Alexis Mac Allister,ar ARG,Liverpool,MF,26-137,34,30,2575,5,5,6,0,2.8,4.6,34,174,79,0.17,0.17,0.1,0.16,,,,,34.2,0.45,0.13,18.1,1260,83.5,5698,90.2,88.4,55.7,44,121,34,2,174,119,4.16,15,0.52,95,58,104,49,61,6,55,22,1845,55,280,956,630,60,42,38.1,50.0,906,1961,34,42,5,31,22,1217,79,61,40,2,85,146,19,34,35.8,3
Andreas Pereira,br BRA,Fulham,MF,29-129,31,23,1879,2,4,7,0,3.5,4.5,27,99,78,0.1,0.19,0.17,0.21,,,,,22.9,0.38,0.06,22.1,641,68.9,3703,83.6,78.3,41.0,56,64,19,4,99,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,27,35,8,26,21,648,78,27,23,1,168,97,12,21,36.4,3
Andrew Robertson,sct SCO,Liverpool,DF,31-060,31,27,2308,0,0,3,1,1.0,4.1,58,165,95,0.0,0.0,0.04,0.16,,,,,15.4,0.08,0.0,14.5,1456,83.0,7781,94.1,86.8,46.8,38,144,28,16,165,75,2.92,3,0.12,38,22,47,17,9,4,5,20,1947,86,500,882,578,50,18,38.9,55.6,1028,2588,58,48,6,25,11,1302,95,11,8,2,136,91,6,12,33.3,3
Antonee Robinson,us USA,Fulham,DF,27-275,34,33,2989,0,10,8,0,0.7,4.1,114,123,265,0.0,0.3,0.02,0.12,,,,,12.5,0.06,0.0,22.1,1523,76.6,9482,86.7,79.0,56.4,42,113,54,28,123,77,2.32,11,0.33,90,57,89,45,37,7,30,57,2404,128,765,911,763,67,78,43.6,42.3,1278,4057,114,60,29,41,18,1440,265,31,17,6,165,148,45,25,64.3,3
Bernardo Silva,pt POR,Manchester City,"MF,FW",30-273,30,26,2401,3,4,7,0,3.2,4.4,94,115,184,0.11,0.15,0.12,0.16,,,,,35.7,0.37,0.11,12.9,1370,87.1,3837,92.2,88.4,66.7,47,75,33,7,115,83,3.11,8,0.3,52,34,52,28,33,7,26,20,1816,48,318,739,777,131,59,45.8,42.4,1137,3650,94,60,31,21,32,1346,184,26,29,3,54,93,5,10,33.3,3
Bilal El Khannouss,ma MAR,Leicester City,MF,21-000,30,25,2003,2,3,4,0,1.1,4.1,71,119,83,0.09,0.13,0.05,0.18,,,,,21.4,0.27,0.07,22.3,735,75.2,3695,86.1,80.6,57.0,36,83,28,6,119,66,2.97,5,0.22,46,26,28,13,21,4,17,6,1172,17,166,602,416,33,53,56.6,37.7,679,1949,71,42,12,36,36,788,83,28,11,1,83,84,19,20,48.7,3
Bruno Fernandes,pt POR,Manchester Utd,MF,30-244,33,32,2758,8,9,4,2,9.5,7.6,65,281,118,0.26,0.29,0.31,0.25,,,,,30.1,0.82,0.06,21.9,1522,75.2,9407,86.7,80.4,52.6,84,176,73,11,281,169,5.51,12,0.39,76,47,75,46,32,4,28,25,2394,59,398,1130,888,71,65,41.5,49.2,1379,3436,65,60,11,38,37,1665,118,26,37,2,172,192,21,28,42.9,3
Bruno Guimarães,br BRA,Newcastle Utd,MF,27-175,35,35,3002,4,6,6,0,3.9,5.8,54,247,81,0.12,0.18,0.12,0.17,,,,,25.6,0.3,0.1,16.3,1334,82.1,7192,90.6,87.5,56.8,47,162,70,6,247,121,3.63,17,0.51,75,43,64,33,34,9,25,27,2013,75,409,1035,592,74,75,45.3,32.0,1298,3108,54,40,12,53,73,1507,81,57,100,2,25,167,18,17,51.4,3
Carlos Baleba,cm CMR,Brighton,MF,21-127,31,28,2403,3,1,8,1,3.0,1.3,40,111,27,0.11,0.04,0.11,0.05,,,,,26.8,0.41,0.07,25.3,1048,87.2,4406,92.6,91.7,62.3,20,103,22,2,111,60,2.25,4,0.15,71,41,72,28,44,10,34,40,1556,88,375,917,303,12,52,59.6,34.6,886,2588,40,40,3,37,37,944,27,38,44,0,8,176,38,24,61.3,3
Daniel Muñoz,co COL,Crystal Palace,DF,28-349,34,34,2958,4,4,10,0,4.7,4.5,54,89,191,0.12,0.12,0.14,0.14,,,,,39.4,0.4,0.12,12.3,1052,75.6,4812,85.5,77.1,44.0,41,53,33,14,89,78,2.37,9,0.27,113,74,89,37,36,4,32,40,1871,111,524,768,598,95,54,38.9,57.4,730,1604,54,35,15,50,18,883,191,49,19,13,68,155,58,75,43.6,3
Declan Rice,eng ENG,Arsenal,MF,26-116,33,31,2645,3,7,7,1,3.3,6.5,88,180,92,0.1,0.24,0.11,0.22,,,,,25.0,0.37,0.07,19.3,1304,83.5,5871,92.0,90.5,48.9,56,126,35,5,180,106,3.61,10,0.34,52,24,37,21,24,11,13,25,1839,71,302,863,693,77,28,46.4,50.0,977,3274,88,54,16,36,29,1204,92,20,16,2,157,143,31,24,56.4,3
Diogo Dalot,pt POR,Manchester Utd,DF,26-053,32,31,2788,0,3,5,0,2.0,2.0,62,102,164,0.0,0.1,0.06,0.07,,,,,21.7,0.16,0.0,15.6,1336,80.5,6609,89.9,81.9,55.4,26,61,25,8,102,74,2.39,5,0.16,67,39,52,18,22,9,13,37,1965,113,658,767,557,66,53,50.9,41.5,1111,2684,62,37,16,37,21,1186,164,40,9,4,65,164,38,21,64.4,3
Dominik Szoboszlai,hu HUN,Liverpool,MF,24-197,33,26,2279,5,5,6,0,7.1,6.2,65,118,120,0.2,0.2,0.28,0.24,,,,,32.3,0.79,0.08,18.5,1029,84.6,3194,89.2,88.3,72.2,51,80,31,5,118,108,4.27,14,0.55,31,20,39,24,36,4,32,9,1450,24,188,704,576,96,35,54.3,37.1,740,2119,65,46,17,34,22,991,120,37,23,4,34,122,18,22,45.0,3
Elliot Anderson,eng ENG,Nott'ham Forest,MF,22-185,34,30,2467,2,6,7,0,1.9,3.1,46,128,87,0.07,0.22,0.07,0.11,,,,,18.9,0.26,0.05,19.4,949,77.6,5277,89.1,80.3,45.7,34,105,19,2,128,78,2.85,10,0.36,84,52,100,57,44,9,35,30,1630,95,388,775,496,62,73,49.3,39.7,820,2094,46,31,19,56,41,956,87,43,55,4,78,197,47,23,67.1,3
Emile Smith Rowe,eng ENG,Fulham,MF,24-286,31,23,1886,6,2,2,0,4.4,1.1,50,120,115,0.29,0.1,0.21,0.05,,,,,28.6,0.48,0.17,15.6,844,90.1,2312,92.1,95.4,70.4,18,76,15,1,120,65,3.1,11,0.52,31,18,24,16,20,2,18,11,1128,20,155,534,449,55,33,48.5,45.5,734,1838,50,38,11,35,13,867,115,18,12,4,13,69,6,17,26.1,3
