Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Alexander Isak,se SWE,Newcastle Utd,FW,25-231,32,32,2577,23,6,1,0,19.9,4.3,81,80,200,0.8,0.21,0.69,0.15,,,,,42.0,1.29,0.22,14.6,479,74.5,1510,83.8,77.4,63.2,41,33,26,1,80,89,3.11,14,0.49,12,5,13,8,18,2,16,3,960,20,55,361,558,178,88,47.7,50.0,574,1782,81,41,43,62,52,681,200,25,13,20,15,55,26,52,33.3,5
Beto,gw GNB,Everton,FW,27-099,27,12,1268,7,0,2,0,6.6,0.8,12,10,66,0.5,0.0,0.47,0.06,,,,,50.0,1.42,0.18,13.2,124,57.1,185,67.9,50.0,87.5,8,5,4,1,10,17,1.21,0,0.0,14,6,8,3,8,1,7,3,429,22,43,188,204,72,32,53.1,43.8,221,390,12,9,9,59,33,309,66,30,18,14,3,30,78,92,45.9,5
Brennan Johnson,wls WAL,Tottenham,FW,23-352,31,23,2083,11,3,5,0,9.8,2.3,57,70,194,0.48,0.13,0.43,0.1,,,,,37.7,0.86,0.21,11.4,438,71.0,1591,80.5,75.7,34.4,19,25,35,6,70,46,1.99,7,0.3,39,26,31,15,25,3,22,4,825,16,89,282,466,120,44,43.2,50.0,527,1410,57,21,32,25,16,609,194,26,25,12,52,60,7,20,25.9,5
Chris Wood,nz NZL,Nott'ham Forest,FW,33-154,33,32,2689,19,3,1,0,11.7,2.5,13,36,87,0.64,0.1,0.39,0.08,,,,,54.5,1.0,0.29,14.1,290,65.9,879,69.8,67.2,72.7,19,16,9,1,36,40,1.34,5,0.17,5,4,9,7,11,7,4,5,698,36,84,334,282,89,12,33.3,58.3,339,444,13,10,5,73,24,512,87,24,21,26,1,44,88,129,40.6,5
Danny Welbeck,eng ENG,Brighton,FW,34-165,28,22,1942,9,4,5,0,8.1,1.2,19,42,83,0.42,0.19,0.38,0.06,,,,,37.7,0.93,0.17,15.2,368,84.2,863,86.3,87.0,100.0,19,17,13,0,42,44,2.04,6,0.28,23,14,18,11,17,2,15,5,648,15,50,277,326,90,36,33.3,58.3,395,777,19,20,7,45,25,483,83,11,22,4,3,40,15,29,34.1,5
Darwin Núñez,uy URU,Liverpool,FW,25-320,27,8,1051,5,2,8,0,5.3,1.2,22,27,69,0.43,0.17,0.45,0.11,,,,,36.4,1.03,0.15,14.3,151,70.6,546,80.4,73.0,66.7,9,9,2,0,27,27,2.31,4,0.34,19,16,16,10,6,0,6,3,340,10,44,113,193,66,21,38.1,57.1,184,529,22,17,12,21,19,228,69,27,14,11,2,39,17,30,36.2,5
Diogo Jota,pt POR,Liverpool,FW,28-157,24,14,1154,6,3,2,0,7.5,1.8,36,33,86,0.47,0.23,0.59,0.14,,,,,27.1,1.01,0.13,12.3,205,69.7,750,76.2,75.0,61.9,11,29,3,1,33,35,2.73,9,0.7,14,8,19,12,9,0,9,7,459,5,30,190,246,93,32,34.4,59.4,251,754,36,21,20,37,22,317,86,22,14,1,8,40,22,30,42.3,5
Dominic Calvert-Lewin,eng ENG,Everton,FW,28-055,23,19,1588,3,1,2,0,6.2,0.6,22,19,107,0.17,0.06,0.35,0.04,,,,,36.2,0.96,0.06,12.3,177,62.8,488,69.9,59.0,37.5,7,19,5,1,19,25,1.42,4,0.23,9,7,6,4,6,2,4,6,499,22,39,208,257,83,25,40.0,52.0,272,444,22,8,16,73,33,407,107,27,23,27,6,32,84,80,51.2,5
Dominic Solanke,eng ENG,Tottenham,FW,27-238,25,24,2119,8,3,0,0,10.1,2.9,29,45,88,0.34,0.13,0.43,0.13,,,,,40.7,1.02,0.14,12.1,250,71.0,914,76.1,77.1,66.7,14,27,9,0,45,37,1.57,8,0.34,18,11,14,10,18,7,11,0,636,31,68,290,284,111,50,32.0,62.0,374,803,29,21,14,67,47,448,88,36,36,5,4,37,44,59,42.7,5
Erling Haaland,no NOR,Manchester City,FW,24-293,28,28,2480,21,3,2,0,20.8,2.8,19,18,103,0.76,0.11,0.76,0.1,,,,,54.5,1.96,0.19,12.2,225,66.0,532,70.6,66.7,66.7,26,9,7,1,18,62,2.25,9,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,34.4,59.4,272,478,19,14,19,39,25,427,103,22,12,4,3,29,49,45,52.1,5
