Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Lloyd Kelly,eng ENG,Newcastle Utd,DF,26-216,10,4,303,0,1,2,0,0.4,0.5,0,9,5,0.0,0.3,0.12,0.14,,,,,0.0,0.0,0.0,7.3,146,80.7,867,87.7,89.7,41.7,2,6,1,1,9,2,0.59,1,0.3,5,4,1,0,6,4,2,1,215,26,105,94,19,4,3,66.7,33.3,120,202,0,2,0,3,2,129,5,5,5,1,1,19,6,2,75.0,0
Luis Guilherme,br BRA,West Ham,"MF,FW",19-090,11,1,138,0,0,0,0,0.3,0.1,3,3,13,0.0,0.0,0.19,0.05,,,,,33.3,0.65,0.0,14.9,47,83.9,154,96.8,86.7,57.1,3,3,3,2,3,10,6.52,0,0.0,1,0,3,3,7,0,7,3,85,3,19,30,37,4,9,55.6,22.2,42,136,3,3,1,4,3,55,13,0,4,0,8,7,2,1,66.7,0
Luke Shaw,eng ENG,Manchester Utd,DF,29-302,5,2,218,0,0,1,0,0.0,0.7,6,18,7,0.0,0.0,0.01,0.29,,,,,0.0,0.0,0.0,23.1,178,83.6,1052,92.9,86.6,56.5,5,12,3,1,18,9,3.72,0,0.0,4,3,2,0,2,1,1,2,234,15,92,105,37,4,1,0.0,100.0,170,402,6,6,0,2,0,183,7,2,0,0,9,9,3,2,60.0,0
Luke Thomas,eng ENG,Leicester City,DF,23-334,11,10,873,0,0,1,0,0.4,0.3,3,30,13,0.0,0.0,0.04,0.03,,,,,0.0,0.0,0.0,16.8,418,79.3,2171,91.9,82.3,44.1,7,27,3,1,30,12,1.24,1,0.1,25,20,32,14,13,5,8,18,644,39,237,312,99,7,5,40.0,60.0,314,497,3,7,2,10,2,363,13,6,6,0,23,36,11,11,50.0,0
Luke Woolfenden,eng ENG,Ipswich Town,DF,26-201,15,12,1187,0,0,2,0,0.0,0.0,7,15,0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,12.9,496,88.3,3071,96.7,93.8,52.7,0,31,0,0,15,2,0.15,0,0.0,9,6,5,3,21,14,7,19,694,147,407,278,9,3,0,,,368,1249,7,3,0,4,0,442,0,5,2,1,0,38,15,15,50.0,0
Mads Hermansen,dk DEN,Leicester City,GK,24-303,27,27,2385,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.19,64.5,3.7,25.0,,0.0,,,654,61.0,12387,97.4,94.8,32.7,0,20,1,0,1,3,0.11,0,0.0,1,1,1,0,1,0,1,0,1147,831,1106,43,0,0,1,100.0,0.0,734,1904,0,0,0,1,0,625,0,0,3,0,0,17,4,1,80.0,0
Mark Flekken,nl NED,Brentford,GK,31-331,34,34,3005,0,2,1,0,0.0,0.5,0,0,0,0.0,0.06,0.0,0.02,1.53,73.1,17.6,0.0,,0.0,,,1179,73.4,23832,97.9,97.5,49.9,3,47,2,0,0,10,0.3,2,0.06,4,4,9,6,2,0,2,0,1707,1338,1660,52,0,0,1,100.0,0.0,1045,3005,0,0,0,3,0,953,0,0,3,0,0,37,4,0,100.0,0
Mark Travers,ie IRL,Bournemouth,GK,25-357,5,5,450,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,80.0,20.0,,,0.0,,,100,70.4,2692,100.0,96.2,51.8,0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,162,144,159,3,0,0,0,,,85,188,0,0,0,0,0,68,0,0,1,0,0,3,1,0,100.0,0
Martin Dúbravka,sk SVK,Newcastle Utd,GK,36-115,10,10,900,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.2,70.7,50.0,,,0.0,,,265,79.6,3082,100.0,100.0,40.2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,350,262,337,14,0,0,0,,,202,643,0,0,0,0,0,175,0,0,1,0,0,18,4,0,100.0,0
Massimo Luongo,au AUS,Ipswich Town,MF,32-227,9,2,196,0,0,0,0,0.0,0.0,0,5,1,0.0,0.0,0.0,0.0,,,,,,0.0,,,43,75.4,135,90.0,68.8,42.9,0,1,0,0,5,0,0.0,0,0.0,8,5,7,3,4,2,2,2,77,9,33,25,19,1,0,,,40,25,0,0,0,2,3,44,1,1,2,0,1,10,1,0,100.0,0
