Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Abdul Fatawu Issahaku,gh GHA,Leicester City,FW,21-063,11,6,579,0,2,0,0,0.4,1.6,42,17,60,0.0,0.31,0.06,0.24,,,,,38.5,0.78,0.0,31.2,123,62.4,601,72.8,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,42,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9,4
Adam Armstrong,eng ENG,Southampton,"FW,MF",28-089,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,,,,,28.0,0.5,0.08,16.6,231,80.2,446,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7,4
Adam Lallana,eng ENG,Southampton,MF,37-000,14,5,361,0,2,4,0,0.2,0.9,6,24,10,0.0,0.5,0.04,0.23,,,,,0.0,0.0,0.0,18.1,221,85.0,980,89.1,91.0,44.4,4,21,9,3,24,9,2.24,2,0.5,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0,4
Adam Wharton,eng ENG,Crystal Palace,MF,20-342,20,16,1318,0,2,2,0,0.4,3.0,14,107,11,0.0,0.14,0.03,0.21,,,,,38.5,0.34,0.0,25.4,548,75.6,3780,82.5,80.1,65.4,26,78,18,5,107,59,4.03,6,0.41,34,14,44,27,11,2,9,20,871,30,204,462,212,11,10,20.0,80.0,430,1078,14,23,2,17,13,533,11,12,21,0,39,102,7,16,30.4,4
Alex Scott,eng ENG,Bournemouth,MF,21-262,18,7,709,0,0,2,0,0.7,0.8,15,49,33,0.0,0.0,0.08,0.11,,,,,38.5,0.63,0.0,20.0,265,83.1,1298,88.5,91.9,60.6,11,37,4,0,49,28,3.55,2,0.25,26,13,40,22,17,4,13,10,456,22,84,245,133,18,26,23.1,50.0,237,640,15,9,3,22,8,274,33,13,26,0,6,50,7,7,50.0,4
Antony,br BRA,Manchester Utd,"DF,MF",25-075,8,0,141,0,0,0,0,1.0,0.1,5,6,7,0.0,0.0,0.65,0.08,,,,,50.0,1.91,0.0,15.8,56,81.2,111,88.2,64.3,100.0,3,1,5,2,6,8,5.11,0,0.0,6,3,5,3,2,0,2,2,101,2,22,26,54,8,11,36.4,54.5,60,182,5,6,1,5,1,69,7,2,5,0,5,11,0,1,0.0,4
Ben Chilwell,eng ENG,Crystal Palace,DF,28-140,6,0,139,0,0,1,0,0.1,0.2,2,3,10,0.0,0.0,0.05,0.13,,,,,50.0,0.65,0.0,27.6,45,65.2,155,83.9,64.0,11.1,2,4,2,0,3,3,1.93,0,0.0,4,4,3,3,3,1,2,4,98,6,35,43,25,1,5,40.0,40.0,39,146,2,1,0,2,2,42,10,2,2,2,3,12,3,3,50.0,4
Ben Johnson,eng ENG,Ipswich Town,"DF,FW",25-106,22,14,1348,1,2,5,1,1.1,1.3,16,26,33,0.07,0.13,0.07,0.09,,,,,42.9,0.2,0.14,12.6,296,71.5,2035,86.2,74.8,49.0,12,21,3,2,26,23,1.54,5,0.33,38,22,41,21,22,5,17,13,624,60,245,219,163,12,24,33.3,58.3,259,585,16,12,3,23,17,290,33,27,6,1,37,57,19,18,51.4,4
Bobby De Cordova-Reid,jm JAM,Leicester City,FW,32-097,23,9,744,1,2,2,0,0.8,1.2,14,15,48,0.12,0.24,0.1,0.15,,,,,42.9,0.36,0.14,25.1,145,70.4,587,81.5,73.6,33.3,6,9,5,0,15,13,1.57,3,0.36,9,4,14,10,6,1,5,0,272,15,49,114,109,16,10,0.0,80.0,174,389,14,5,6,11,10,188,48,9,9,4,15,29,6,14,30.0,4
Brajan Gruda,de GER,Brighton,"FW,MF",20-344,18,6,508,0,3,0,0,0.4,1.5,16,17,47,0.0,0.53,0.07,0.27,,,,,50.0,0.35,0.0,16.8,139,73.5,639,82.6,71.1,40.9,15,7,10,1,17,27,4.77,4,0.71,14,6,14,7,8,0,8,2,262,4,33,89,144,33,23,39.1,43.5,152,491,16,17,10,9,20,170,47,6,9,1,18,19,3,4,42.9,4
Cameron Archer,eng ENG,Southampton,FW,23-293,32,13,1373,2,0,0,0,5.1,0.4,19,14,64,0.13,0.0,0.33,0.02,,,,,33.3,0.59,0.07,13.1,189,81.1,337,85.6,91.4,55.6,3,6,7,0,14,17,1.12,0,0.0,11,7,9,7,5,1,4,2,362,16,59,161,145,50,32,43.8,53.1,210,499,19,9,14,34,25,256,64,16,12,7,3,34,8,28,22.2,4
Carlos Alcaraz,ar ARG,Everton,"FW,MF",22-161,12,5,580,1,2,4,0,1.3,1.5,15,37,17,0.16,0.31,0.21,0.23,,,,,31.6,0.93,0.05,20.4,184,79.0,838,85.4,88.3,61.3,11,15,18,3,37,26,4.03,4,0.62,11,5,9,6,6,1,5,4,311,10,51,139,130,15,16,56.3,31.3,180,576,15,17,2,11,11,206,17,10,9,1,10,29,12,6,66.7,4
Carlos Soler,es ESP,West Ham,"MF,FW",28-128,29,14,1358,1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,,,,,29.2,0.46,0.04,19.1,536,85.1,2241,94.4,85.6,53.7,14,41,11,0,52,47,3.12,2,0.13,15,11,23,16,19,6,13,8,748,26,173,391,189,23,18,44.4,50.0,341,714,16,16,4,12,14,506,33,24,18,0,31,64,9,11,45.0,4
Christian Eriksen,dk DEN,Manchester Utd,MF,33-085,21,11,1028,0,2,4,0,0.4,2.9,12,53,29,0.0,0.18,0.03,0.25,,,,,9.1,0.09,0.0,24.9,569,79.1,2975,92.1,80.7,47.6,27,53,11,4,53,51,4.46,7,0.61,19,9,26,15,14,4,10,7,811,24,163,388,264,15,3,0.0,100.0,450,761,12,13,1,11,5,541,29,8,3,0,78,59,2,6,25.0,4
Christopher Nkunku,fr FRA,Chelsea,FW,27-177,27,9,921,3,2,2,0,4.8,2.1,17,25,68,0.29,0.2,0.47,0.21,,,,,44.0,1.07,0.12,12.6,299,89.5,760,91.6,92.2,100.0,14,26,7,0,25,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37.0,51.9,280,628,17,16,13,18,17,356,68,16,11,3,4,29,16,22,42.1,4
Conor Chaplin,eng ENG,Ipswich Town,"MF,FW",28-083,19,8,712,1,1,2,0,1.2,0.7,11,26,20,0.13,0.13,0.15,0.09,,,,,25.0,0.38,0.08,18.3,186,72.7,762,80.9,79.2,40.0,8,20,7,2,26,21,2.66,1,0.13,12,5,13,7,8,1,7,3,314,7,57,158,104,12,7,57.1,42.9,148,403,11,7,0,11,3,215,20,11,6,0,9,25,2,9,18.2,4
Crysencio Summerville,nl NED,West Ham,"FW,MF",23-192,19,7,786,1,1,2,0,1.6,1.7,29,18,71,0.11,0.11,0.19,0.19,,,,,28.6,0.46,0.07,13.4,194,76.4,640,84.5,88.7,50.0,17,13,12,5,18,35,4.01,1,0.11,13,7,9,6,13,4,9,0,372,9,47,147,181,38,39,33.3,46.2,207,762,29,15,13,20,16,259,71,9,23,4,21,38,4,9,30.8,4
Danny Ings,eng ENG,West Ham,"FW,MF",32-291,15,1,284,1,2,0,0,2.3,1.3,6,5,29,0.32,0.63,0.72,0.41,,,,,35.7,1.58,0.07,15.5,63,68.5,126,83.7,65.5,20.0,6,4,1,0,5,12,3.8,2,0.63,4,2,3,2,5,0,5,1,139,2,15,51,73,27,7,57.1,28.6,63,118,6,0,2,6,6,96,29,0,2,0,3,9,8,10,44.4,4
