Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Abdoulaye Doucouré,ml MLI,Everton,MF,32-129,30,29,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,,,,,31.0,0.33,0.1,13.8,676,79.6,2133,85.1,83.1,72.7,26,44,14,0,78,54,2.0,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3,1
Amadou Onana,be BEL,Aston Villa,MF,23-267,23,17,1378,3,0,4,0,2.1,0.3,21,60,14,0.2,0.0,0.14,0.02,,,,,35.3,0.39,0.18,14.7,607,88.5,2430,94.3,89.8,73.0,8,56,9,1,60,27,1.76,4,0.26,47,24,26,12,14,6,8,24,858,62,233,506,133,21,17,64.7,17.6,468,1293,21,20,1,10,9,579,14,30,24,0,1,66,27,18,60.0,1
André,br BRA,Wolves,MF,23-298,30,28,2249,0,0,7,0,0.4,0.7,8,95,11,0.0,0.0,0.02,0.03,,,,,11.1,0.04,0.0,25.3,1111,92.8,4913,95.3,95.4,80.0,15,101,4,0,95,45,1.8,3,0.12,80,48,57,25,41,8,33,32,1451,83,395,939,132,3,27,48.1,37.0,795,1440,8,14,0,27,17,973,11,34,32,0,0,176,2,6,25.0,1
Ashley Young,eng ENG,Everton,"DF,FW",39-305,29,17,1622,1,3,6,1,0.3,1.6,20,83,27,0.06,0.17,0.01,0.09,,,,,50.0,0.17,0.17,24.5,610,69.9,5051,88.0,76.0,40.3,19,72,18,9,83,38,2.11,6,0.33,51,29,51,19,10,3,7,23,1043,52,316,452,280,9,15,33.3,46.7,415,1214,20,24,1,8,1,535,27,25,18,0,66,61,10,11,47.6,1
Ben Davies,wls WAL,Tottenham,DF,32-016,14,12,1126,0,0,4,0,0.3,0.2,14,50,6,0.0,0.0,0.02,0.02,,,,,20.0,0.08,0.0,17.0,797,88.0,5958,90.8,94.3,63.1,2,43,2,0,50,8,0.64,0,0.0,14,10,14,7,24,16,8,12,1045,178,549,451,45,12,1,100.0,0.0,588,1701,14,10,0,4,0,699,6,14,6,0,4,36,47,38,55.3,1
Boubacar Kamara,fr FRA,Aston Villa,MF,25-168,23,17,1463,0,0,2,0,0.4,0.9,16,74,7,0.0,0.0,0.02,0.05,,,,,14.3,0.06,0.0,21.1,738,89.2,3651,93.4,91.8,54.4,10,82,8,0,74,24,1.48,2,0.12,49,20,54,26,17,7,10,17,991,92,308,572,118,8,24,33.3,33.3,517,1121,16,11,1,10,15,673,7,25,28,0,1,73,17,23,42.5,1
Boubakary Soumaré,fr FRA,Leicester City,MF,26-072,28,23,1960,0,0,8,0,0.3,0.4,31,95,21,0.0,0.0,0.01,0.02,,,,,0.0,0.0,0.0,23.4,985,86.7,4024,92.0,87.6,69.1,11,90,13,2,95,34,1.56,3,0.14,33,18,30,12,20,8,12,24,1324,64,352,835,150,17,44,61.4,29.5,788,1881,31,16,3,20,21,929,21,21,21,0,8,130,20,9,69.0,1
Calvin Bassey,ng NGA,Fulham,DF,25-130,33,32,2894,1,0,7,0,1.0,0.1,36,107,15,0.03,0.0,0.03,0.0,,,,,28.6,0.12,0.07,15.3,1822,89.8,11248,95.1,94.0,61.5,3,143,2,0,107,23,0.72,3,0.09,52,33,30,9,37,17,20,18,2317,308,1127,1090,124,19,31,45.2,32.3,1487,4539,36,18,5,32,8,1620,15,26,31,2,7,156,40,31,56.3,1
Casemiro,br BRA,Manchester Utd,MF,33-076,22,16,1335,1,0,3,0,1.7,2.3,4,70,26,0.07,0.0,0.11,0.15,,,,,28.6,0.54,0.04,18.8,670,78.5,3522,86.4,83.7,59.8,20,68,20,6,70,49,3.31,3,0.2,77,46,66,25,33,10,23,12,1091,69,327,555,217,38,6,50.0,50.0,575,823,4,10,0,10,10,697,26,17,18,3,19,89,31,17,64.6,1
Chris Richards,us USA,Crystal Palace,DF,25-043,21,19,1652,1,0,4,1,1.3,0.1,5,35,1,0.05,0.0,0.07,0.01,,,,,45.5,0.27,0.09,11.4,609,80.2,3832,88.3,89.6,44.9,2,22,1,1,35,7,0.38,2,0.11,44,28,38,15,36,13,23,15,985,113,527,397,67,18,6,16.7,83.3,453,916,5,5,0,5,5,547,1,11,4,1,3,49,38,38,50.0,1
