Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Adama Traoré,es ESP,Fulham,"FW,MF",29-105,33,16,1592,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,,,,,29.7,0.62,0.05,14.3,386,72.0,1529,81.4,73.4,55.1,38,32,33,18,61,76,4.3,9,0.51,17,12,13,8,7,0,7,1,737,4,75,260,424,88,93,50.5,37.6,490,2268,89,42,33,34,21,556,145,20,29,1,92,78,24,26,48.0,2
Alejandro Garnacho,ar ARG,Manchester Utd,"MF,FW",20-313,34,23,2146,6,2,3,0,7.2,4.5,139,56,281,0.25,0.08,0.3,0.19,,,,,34.9,1.22,0.07,17.2,635,79.1,1152,88.6,82.9,60.0,35,21,24,4,56,81,3.4,6,0.25,29,18,36,24,19,0,19,13,1132,13,128,360,662,170,87,29.9,60.9,819,3176,139,72,66,63,48,864,281,12,41,10,52,108,3,23,11.5,2
Alex Iwobi,ng NGA,Fulham,"FW,MF",29-007,35,33,2796,9,6,1,0,4.6,6.9,135,199,224,0.29,0.19,0.15,0.22,,,,,44.4,0.9,0.14,18.2,1057,74.4,5331,85.8,77.7,53.8,56,107,78,17,199,115,3.7,16,0.52,39,23,30,11,25,1,24,13,1724,31,228,691,831,109,87,49.4,44.8,1218,4098,135,102,37,55,38,1345,224,17,17,5,120,126,6,31,16.2,2
Amad Diallo,ci CIV,Manchester Utd,"FW,MF",22-303,23,17,1639,7,6,3,0,4.2,4.0,93,55,163,0.38,0.33,0.23,0.22,,,,,32.6,0.77,0.16,18.0,676,82.9,1915,90.5,85.3,53.1,40,25,30,5,55,83,4.56,17,0.93,35,28,28,11,11,0,11,11,1042,13,154,381,523,112,77,49.4,45.5,678,2355,93,48,54,36,32,731,163,19,24,9,38,99,9,15,37.5,2
Anthony Elanga,se SWE,Nott'ham Forest,"FW,MF",23-013,35,28,2232,6,9,1,0,4.2,4.8,87,54,190,0.24,0.36,0.17,0.19,,,,,52.5,0.85,0.15,17.3,479,65.2,2292,82.8,64.1,33.0,44,29,24,7,54,89,3.59,14,0.57,18,13,17,12,11,1,10,6,1000,29,133,290,594,98,76,30.3,46.1,527,2268,87,42,42,70,39,672,190,8,36,15,156,84,24,34,41.4,2
Anthony Gordon,eng ENG,Newcastle Utd,FW,24-075,31,25,2235,6,5,2,0,8.0,4.9,111,93,197,0.24,0.2,0.32,0.2,,,,,28.6,0.64,0.09,16.8,671,73.3,3422,85.9,78.2,43.2,50,61,52,17,93,99,3.99,12,0.48,31,17,34,22,24,2,22,6,1178,16,115,444,638,123,96,36.5,46.9,758,3042,111,56,55,28,35,851,197,19,65,8,122,92,6,7,46.2,2
Antoine Semenyo,gh GHA,Bournemouth,FW,25-123,34,33,2933,9,5,9,0,9.3,5.8,133,106,259,0.28,0.15,0.29,0.18,,,,,31.4,1.14,0.08,17.2,737,73.2,2740,84.7,76.5,38.6,45,48,44,8,106,123,3.77,13,0.4,53,34,42,26,59,8,51,10,1503,44,187,526,824,176,125,51.2,41.6,904,3409,133,65,65,79,72,1041,259,66,36,14,52,150,61,72,45.9,2
Bryan Mbeumo,cm CMR,Brentford,FW,25-276,35,35,3144,18,6,3,0,10.8,8.0,118,128,319,0.52,0.17,0.31,0.23,,,,,42.3,0.86,0.18,17.7,809,66.6,3990,79.0,72.1,37.0,66,55,55,16,128,134,3.84,18,0.52,45,29,31,13,24,3,21,14,1633,54,232,517,913,149,99,46.5,41.4,984,3237,118,64,68,99,40,1109,319,23,43,11,182,143,34,69,33.0,2
Bukayo Saka,eng ENG,Arsenal,"FW,MF",23-247,22,18,1539,6,10,3,0,6.3,6.8,82,62,233,0.35,0.58,0.37,0.4,,,,,34.5,1.17,0.09,15.5,488,75.2,2184,90.1,73.1,47.7,50,13,32,10,62,102,5.97,22,1.29,24,13,22,11,21,0,21,3,875,6,52,192,639,146,84,44.0,41.7,558,2133,82,28,45,29,38,635,233,14,38,5,110,65,8,19,29.6,2
Callum Hudson-Odoi,eng ENG,Nott'ham Forest,"FW,MF",24-184,29,25,2152,5,2,2,0,2.5,2.7,127,66,186,0.21,0.08,0.1,0.11,,,,,45.9,0.71,0.14,18.3,674,82.2,1991,92.1,81.8,51.2,44,36,31,11,66,94,3.93,11,0.46,20,14,17,6,11,0,11,13,1005,15,111,324,595,72,62,58.1,29.0,626,3335,127,61,45,44,23,764,186,12,22,8,75,91,3,10,23.1,2
