Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Adama Traoré,es ESP,Fulham,"FW,MF",29-097,32,16,1568,2,6,2,0,3.8,4.7,87,61,143,0.11,0.34,0.22,0.27,,,,,30.6,0.63,0.06,14.4,383,72.0,1501,81.2,73.4,55.3,37,32,32,17,61,73,4.19,9,0.52,17,12,13,8,7,0,7,1,725,4,74,258,415,86,88,50.0,37.5,483,2232,87,42,33,32,19,548,143,20,29,1,90,78,24,25,49.0,4
Alejandro Garnacho,ar ARG,Manchester Utd,"MF,FW",20-305,33,22,2056,5,1,2,0,7.0,3.6,134,54,274,0.22,0.04,0.31,0.16,,,,,34.6,1.23,0.06,17.1,600,79.1,1083,89.0,82.9,57.4,30,20,22,3,54,74,3.24,4,0.18,28,18,34,23,19,0,19,13,1078,13,120,340,636,164,85,30.6,60.0,783,3035,134,70,65,61,47,829,274,11,40,10,50,103,3,23,11.5,4
Alex Iwobi,ng NGA,Fulham,"FW,MF",28-364,34,32,2721,9,6,1,0,4.5,6.5,132,196,221,0.3,0.2,0.15,0.22,,,,,44.3,0.89,0.15,18.3,1037,74.4,5225,85.8,77.5,54.2,53,106,77,16,196,112,3.7,16,0.53,37,21,28,11,25,1,24,11,1693,31,225,678,815,107,86,48.8,45.3,1200,4024,132,99,37,54,38,1321,221,17,16,4,118,124,5,31,13.9,4
Alexander Isak,se SWE,Newcastle Utd,FW,25-223,31,31,2487,22,6,1,0,19.0,4.0,77,77,196,0.8,0.22,0.69,0.15,,,,,42.5,1.34,0.22,14.5,459,74.0,1466,83.2,77.5,62.2,38,32,26,1,77,85,3.08,14,0.51,12,5,12,7,18,2,16,3,933,20,54,348,545,175,88,47.7,50.0,558,1723,77,40,43,62,50,659,196,25,13,20,15,54,25,48,34.2,4
Amad Diallo,ci CIV,Manchester Utd,"FW,MF",22-295,22,17,1594,6,6,3,0,4.1,3.9,92,53,159,0.34,0.34,0.23,0.22,,,,,32.5,0.73,0.15,17.7,658,82.9,1880,90.4,85.3,52.4,39,25,29,5,53,80,4.52,16,0.9,33,26,26,11,10,0,10,11,1012,13,150,374,504,109,72,50.0,44.4,656,2294,92,46,52,35,32,714,159,19,23,9,38,93,9,15,37.5,4
Anthony Elanga,se SWE,Nott'ham Forest,"FW,MF",23-005,34,27,2142,6,9,1,0,4.0,4.7,84,52,177,0.25,0.38,0.17,0.2,,,,,50.0,0.8,0.16,17.2,452,64.9,2203,83.3,63.1,33.6,43,27,24,7,52,87,3.66,14,0.59,17,12,16,12,11,1,10,5,953,29,127,276,566,94,75,30.7,46.7,509,2210,84,42,41,67,38,637,177,8,35,14,151,82,22,33,40.0,4
Anthony Gordon,eng ENG,Newcastle Utd,FW,24-067,30,25,2200,6,5,2,0,8.0,4.9,109,92,194,0.25,0.2,0.33,0.2,,,,,29.1,0.65,0.09,16.6,661,73.1,3348,86.1,77.7,42.2,50,59,50,16,92,98,4.01,12,0.49,31,17,34,22,24,2,22,6,1165,16,115,439,630,123,96,36.5,46.9,748,2978,109,55,55,28,35,838,194,19,62,8,120,92,5,7,41.7,4
Antoine Semenyo,gh GHA,Bournemouth,FW,25-115,33,33,2907,9,4,9,0,9.3,5.7,132,106,259,0.28,0.12,0.29,0.18,,,,,31.4,1.15,0.08,17.2,728,73.3,2705,84.9,76.6,37.8,44,48,44,8,106,122,3.78,12,0.37,53,34,42,26,59,8,51,10,1485,44,181,520,817,176,123,52.0,40.7,898,3357,132,64,64,78,71,1032,259,65,36,14,52,147,60,72,45.5,4
Brennan Johnson,wls WAL,Tottenham,FW,23-344,31,23,2083,11,3,5,0,9.8,2.3,57,70,194,0.48,0.13,0.43,0.1,,,,,37.7,0.86,0.21,11.4,438,71.0,1591,80.5,75.7,34.4,19,25,35,6,70,46,1.99,7,0.3,39,26,31,15,25,3,22,4,825,16,89,282,466,120,44,43.2,50.0,527,1410,57,21,32,25,16,609,194,26,25,12,52,60,7,20,25.9,4
Bryan Mbeumo,cm CMR,Brentford,FW,25-268,34,34,3054,18,6,3,0,10.8,7.9,114,126,306,0.53,0.18,0.32,0.23,,,,,43.5,0.88,0.19,17.7,779,66.7,3854,79.2,72.4,37.5,65,54,55,16,126,131,3.86,17,0.5,44,29,30,13,22,3,19,14,1577,51,226,503,876,144,95,46.3,41.1,955,3125,114,62,67,97,38,1072,306,23,42,11,177,139,32,69,31.7,4
