Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Conor Chaplin,eng ENG,Ipswich Town,"MF,FW",28-075,18,7,645,1,1,1,0,1.2,0.6,10,25,20,0.14,0.14,0.16,0.09,,,,,25.0,0.42,0.08,18.3,173,73.3,699,83.5,78.4,33.3,6,17,7,2,25,19,2.66,1,0.14,12,5,13,7,8,1,7,3,293,7,49,146,103,12,6,50.0,50.0,140,380,10,7,0,11,3,198,20,10,5,0,9,23,2,8,20.0,5
Crysencio Summerville,nl NED,West Ham,"FW,MF",23-184,19,7,786,1,1,2,0,1.6,1.7,29,18,71,0.11,0.11,0.19,0.19,,,,,28.6,0.46,0.07,13.4,194,76.4,640,84.5,88.7,50.0,17,13,12,5,18,35,4.01,1,0.11,13,7,9,6,13,4,9,0,372,9,47,147,181,38,39,33.3,46.2,207,762,29,15,13,20,16,259,71,9,23,4,21,38,4,9,30.8,5
Danny Ings,eng ENG,West Ham,"FW,MF",32-283,15,1,284,1,2,0,0,2.3,1.3,6,5,29,0.32,0.63,0.72,0.41,,,,,35.7,1.58,0.07,15.5,63,68.5,126,83.7,65.5,20.0,6,4,1,0,5,12,3.8,2,0.63,4,2,3,2,5,0,5,1,139,2,15,51,73,27,7,57.1,28.6,63,118,6,0,2,6,6,96,29,0,2,0,3,9,8,10,44.4,5
Danny Welbeck,eng ENG,Brighton,FW,34-157,27,21,1852,9,4,4,0,8.1,1.1,19,40,80,0.44,0.19,0.39,0.05,,,,,37.7,0.97,0.17,15.2,352,84.0,812,86.0,87.6,100.0,17,15,12,0,40,42,2.04,6,0.29,22,13,17,11,16,2,14,5,625,15,48,266,315,90,36,33.3,58.3,379,751,19,20,7,44,23,462,80,11,21,3,3,37,15,24,38.5,5
Darwin Núñez,uy URU,Liverpool,FW,25-312,26,8,1018,5,2,8,0,5.0,1.2,22,27,67,0.44,0.18,0.44,0.11,,,,,37.5,1.06,0.16,14.5,147,70.7,546,80.6,73.8,66.7,9,9,2,0,27,26,2.29,4,0.35,18,15,15,10,6,0,6,3,330,10,43,111,186,62,21,38.1,57.1,178,528,22,17,12,21,17,220,67,27,14,11,2,38,16,29,35.6,5
David Brooks,wls WAL,Bournemouth,"FW,MF",27-298,25,8,815,2,0,3,0,2.2,1.7,25,27,75,0.22,0.0,0.24,0.19,,,,,45.5,1.1,0.09,16.8,243,74.1,1129,84.7,76.2,50.0,16,15,15,5,27,35,3.87,2,0.22,11,4,13,12,16,2,14,5,446,12,53,163,238,32,30,26.7,63.3,275,802,25,21,8,27,10,303,75,8,15,0,44,44,7,9,43.8,5
Diogo Jota,pt POR,Liverpool,FW,28-149,23,13,1097,6,3,2,0,7.3,1.8,36,33,86,0.49,0.25,0.6,0.15,,,,,28.3,1.07,0.13,12.5,201,69.6,750,76.1,74.2,61.9,11,29,3,1,33,35,2.87,9,0.74,14,8,19,12,9,0,9,7,448,5,30,185,240,90,30,36.7,60.0,247,753,36,21,20,36,21,311,86,18,12,1,8,40,21,30,41.2,5
Dominic Calvert-Lewin,eng ENG,Everton,FW,28-047,22,19,1574,3,1,2,0,6.1,0.6,22,19,105,0.17,0.06,0.35,0.04,,,,,37.0,0.97,0.07,12.3,174,62.6,488,70.0,58.3,37.5,7,19,5,1,19,25,1.43,4,0.23,9,7,6,4,6,2,4,6,491,21,38,204,254,82,25,40.0,52.0,268,444,22,8,16,71,32,402,105,27,22,27,6,32,83,79,51.2,5
Donyell Malen,nl NED,Aston Villa,FW,26-113,11,2,273,3,0,0,0,1.7,0.1,9,5,23,0.99,0.0,0.55,0.02,,,,,66.7,2.64,0.25,16.3,45,70.3,124,82.9,75.0,50.0,2,2,1,0,5,4,1.31,0,0.0,7,4,4,3,1,0,1,0,110,2,7,29,80,18,10,30.0,50.0,63,251,9,5,5,8,6,71,23,1,4,2,7,8,3,4,42.9,5
Dwight McNeil,eng ENG,Everton,"MF,FW",25-161,17,13,1185,3,4,1,0,1.1,3.8,32,61,68,0.23,0.3,0.08,0.29,,,,,37.5,0.68,0.13,21.6,390,73.0,2513,86.2,81.1,52.9,33,35,33,10,61,62,4.71,7,0.53,11,6,19,11,7,0,7,5,645,3,65,280,315,22,38,55.3,42.1,374,970,32,29,4,22,28,435,68,6,14,1,92,65,3,14,17.6,5
Eddie Nketiah,eng ENG,Crystal Palace,"FW,MF",25-337,25,8,880,1,1,5,1,4.3,1.5,37,17,65,0.1,0.1,0.44,0.15,,,,,33.3,1.23,0.03,14.4,165,75.0,509,79.5,83.3,70.6,11,11,4,0,17,26,2.66,2,0.2,12,5,11,6,10,1,9,2,360,10,39,150,178,59,19,52.6,31.6,211,807,37,22,13,30,15,256,65,25,23,3,5,21,18,31,36.7,5
Enes Ünal,tr TUR,Bournemouth,"FW,MF",27-357,17,2,345,2,1,2,0,2.7,0.4,4,12,22,0.52,0.26,0.72,0.1,,,,,35.0,1.83,0.1,14.6,63,63.6,192,76.9,60.7,0.0,4,4,4,0,12,9,2.35,3,0.78,1,0,3,3,1,0,1,0,172,6,14,63,95,26,12,8.3,83.3,91,95,4,3,1,17,13,133,22,6,9,1,4,16,24,22,52.2,5
Ethan Nwaneri,eng ENG,Arsenal,"FW,MF",18-042,24,10,816,4,2,1,0,1.1,1.0,44,30,101,0.44,0.22,0.12,0.11,,,,,36.4,0.88,0.18,18.2,304,80.2,1143,92.3,76.6,51.4,12,16,13,6,30,22,2.42,3,0.33,11,7,18,11,8,2,6,2,491,3,43,159,294,39,55,58.2,30.9,330,1233,44,21,16,20,17,358,101,7,5,6,51,33,3,7,30.0,5
Evan Ferguson,ie IRL,Brighton,FW,20-195,13,2,246,1,0,0,0,0.5,0.4,2,1,9,0.37,0.0,0.2,0.15,,,,,28.6,0.73,0.14,19.2,43,74.1,44,86.1,72.7,25.0,3,1,0,0,1,4,1.47,0,0.0,4,3,5,3,3,1,2,0,88,7,13,50,26,9,2,50.0,50.0,42,56,2,1,2,5,6,52,9,3,1,0,0,10,4,9,30.8,5
Evanilson,br BRA,Bournemouth,FW,25-208,27,24,1972,9,1,0,1,11.0,1.6,26,19,87,0.41,0.05,0.5,0.07,,,,,45.2,1.28,0.15,12.9,201,69.1,497,74.6,70.7,64.3,23,14,2,0,19,56,2.56,8,0.37,14,9,10,4,10,2,8,0,479,22,49,183,250,113,19,31.6,36.8,279,734,26,15,14,31,22,337,87,31,43,17,0,56,38,56,40.4,5
Fabio Carvalho,pt POR,Brentford,"FW,MF",22-245,19,3,455,2,1,1,0,2.5,0.7,9,17,23,0.4,0.2,0.49,0.13,,,,,41.7,0.99,0.17,14.7,126,70.8,442,83.0,71.1,38.9,4,11,5,1,17,10,1.97,1,0.2,13,9,13,7,6,1,5,3,247,4,44,91,113,22,14,14.3,71.4,137,356,9,3,0,13,8,145,23,5,10,1,10,30,2,6,25.0,5
Gabriel Jesus,br BRA,Arsenal,FW,28-029,17,6,608,3,0,4,0,3.0,0.7,15,19,57,0.44,0.0,0.44,0.1,,,,,35.0,1.04,0.15,11.1,156,76.8,378,80.5,87.2,66.7,8,10,9,1,19,18,2.66,4,0.59,10,6,9,5,10,1,9,4,299,9,28,108,165,48,22,40.9,45.5,179,432,15,6,11,13,13,217,57,14,10,9,7,28,9,18,33.3,5
George Hirst,sct SCO,Ipswich Town,FW,26-076,22,3,470,2,1,1,0,1.3,0.3,9,12,27,0.38,0.19,0.25,0.05,,,,,44.4,0.77,0.22,12.0,55,55.0,188,66.7,47.8,50.0,3,1,4,0,12,7,1.33,3,0.57,3,3,3,2,1,1,0,2,156,10,22,54,82,21,5,40.0,40.0,88,198,9,2,6,21,13,134,27,11,9,2,3,8,30,19,61.2,5
Gonçalo Guedes,pt POR,Wolves,"MF,FW",28-154,25,7,772,2,4,1,0,2.2,1.1,32,30,58,0.23,0.47,0.26,0.13,,,,,36.8,0.82,0.11,20.0,186,72.7,789,84.1,76.0,44.8,11,13,16,5,30,23,2.68,8,0.93,14,4,15,12,9,0,9,5,367,4,42,161,177,28,20,25.0,55.0,224,896,32,20,5,33,14,248,58,14,15,3,16,34,3,11,21.4,5
Harrison Reed,eng ENG,Fulham,MF,30-095,11,0,93,0,0,2,0,0.2,0.1,1,4,7,0.0,0.0,0.22,0.07,,,,,66.7,1.94,0.0,21.7,39,72.2,138,87.5,81.3,40.0,1,1,1,0,4,1,0.97,0,0.0,6,3,3,2,1,0,1,1,77,2,11,28,39,5,2,0.0,50.0,31,27,1,1,0,2,2,38,7,6,2,0,5,10,1,2,33.3,5
Harry Wilson,wls WAL,Fulham,"FW,MF",28-041,21,9,937,5,1,2,0,3.2,1.1,16,46,79,0.48,0.1,0.31,0.1,,,,,31.0,0.86,0.17,17.7,279,73.6,1220,84.6,78.4,44.1,19,23,13,1,46,36,3.46,3,0.29,13,8,15,6,13,1,12,5,486,7,63,175,257,45,24,37.5,41.7,287,657,16,18,8,13,5,326,79,10,18,1,35,44,4,18,18.2,5
Harvey Elliott,eng ENG,Liverpool,"MF,FW",22-028,14,0,199,0,1,1,0,0.7,0.9,7,26,23,0.0,0.45,0.33,0.39,,,,,18.2,0.9,0.0,16.7,156,81.3,649,92.3,78.8,65.2,6,15,4,0,26,12,5.43,2,0.9,4,3,4,3,4,1,3,1,220,2,20,96,105,15,5,40.0,60.0,128,259,7,8,5,2,4,165,23,0,0,1,10,10,1,2,33.3,5
Hwang Hee-chan,kr KOR,Wolves,"MF,FW",29-096,19,5,645,2,0,0,0,0.8,0.1,15,12,40,0.28,0.0,0.11,0.02,,,,,60.0,0.42,0.4,17.4,159,81.5,395,87.0,85.1,80.0,3,7,4,2,12,9,1.25,1,0.14,6,4,6,4,9,0,9,2,260,9,41,98,123,23,13,15.4,84.6,150,426,15,5,7,13,10,172,40,6,8,0,8,27,3,9,25.0,5
Ian Maatsen,nl NED,Aston Villa,DF,23-053,25,7,887,1,2,2,0,0.7,2.7,26,39,84,0.1,0.2,0.08,0.27,,,,,31.3,0.51,0.06,22.7,507,81.8,2117,88.5,85.9,53.5,18,20,15,3,39,49,4.97,7,0.71,25,13,20,6,10,0,10,15,756,42,200,278,286,40,20,50.0,50.0,404,974,26,15,11,18,20,463,84,9,8,3,47,54,8,5,61.5,5
Jack Clarke,eng ENG,Ipswich Town,"FW,MF",24-160,28,11,1033,0,4,2,0,1.0,2.0,30,33,47,0.0,0.35,0.09,0.17,,,,,14.3,0.17,0.0,19.4,260,76.0,1057,86.7,85.6,46.4,23,24,6,0,33,39,3.4,5,0.44,28,17,31,15,6,0,6,7,476,22,114,195,181,32,38,55.3,31.6,264,966,30,18,9,20,16,287,47,14,20,3,13,65,7,14,33.3,5
Jack Grealish,eng ENG,Manchester City,"FW,MF",29-234,19,7,720,1,1,3,0,1.1,1.8,69,52,118,0.12,0.12,0.14,0.23,,,,,33.3,0.62,0.07,16.3,381,87.6,986,93.2,87.8,69.2,24,23,16,0,52,47,5.87,2,0.25,9,5,5,3,12,2,10,2,519,14,40,162,324,71,29,44.8,31.0,375,1714,69,23,46,10,16,422,118,5,25,0,20,26,1,7,12.5,5
Jaden Philogene Bidace,eng ENG,Ipswich Town,"FW,DF",23-083,10,5,474,2,0,1,0,2.0,0.2,13,10,36,0.38,0.0,0.37,0.05,,,,,41.7,0.95,0.17,16.4,95,72.5,414,84.4,73.2,50.0,5,7,4,3,10,9,1.71,0,0.0,14,7,15,7,11,1,10,10,220,10,53,68,101,18,18,27.8,61.1,127,305,13,3,5,11,10,133,36,8,10,1,13,23,5,3,62.5,5
James Mcatee,eng ENG,Manchester City,"MF,FW",22-196,13,2,297,3,0,1,0,2.8,0.3,7,6,25,0.91,0.0,0.85,0.1,,,,,33.3,1.21,0.25,14.3,84,80.8,226,86.5,88.1,33.3,2,7,2,0,6,3,0.91,1,0.3,4,2,7,6,8,0,8,2,145,2,16,58,72,19,7,28.6,71.4,82,187,7,5,1,5,1,104,25,5,2,0,5,8,2,3,40.0,5
Jamie Vardy,eng ENG,Leicester City,FW,38-111,32,32,2571,7,3,5,0,10.2,2.9,27,20,108,0.25,0.11,0.36,0.1,,,,,40.0,0.7,0.12,12.2,238,66.9,384,74.3,77.0,68.4,18,10,9,1,20,42,1.47,9,0.31,18,13,13,9,8,4,4,3,541,28,54,252,240,101,21,42.9,47.6,257,629,27,11,14,33,12,350,108,21,20,25,11,34,49,51,49.0,5
Joe Willock,eng ENG,Newcastle Utd,"MF,FW",25-255,29,10,953,0,2,2,0,1.5,1.9,34,35,76,0.0,0.19,0.14,0.18,,,,,18.8,0.28,0.0,15.7,262,81.9,798,88.6,86.0,42.1,21,23,8,0,35,41,3.88,4,0.38,25,14,28,10,22,5,17,5,472,12,70,198,212,47,32,34.4,46.9,282,892,34,23,12,33,22,327,76,20,12,3,16,35,5,13,27.8,5
Joshua Zirkzee,nl NED,Manchester Utd,"FW,MF",23-345,32,14,1402,3,1,2,0,4.8,1.5,14,44,69,0.19,0.06,0.31,0.1,,,,,39.3,0.71,0.11,13.1,292,71.2,901,78.1,74.4,50.0,12,26,6,0,44,31,1.99,3,0.19,14,8,10,5,15,4,11,6,587,16,71,303,219,56,35,31.4,68.6,327,523,14,21,4,41,30,418,69,9,13,3,4,57,21,54,28.0,5
Jota Silva,pt POR,Nott'ham Forest,"FW,MF",25-274,28,5,844,3,1,5,0,2.0,2.9,20,18,58,0.32,0.11,0.22,0.31,,,,,31.8,0.75,0.14,14.5,115,60.5,467,77.4,60.3,35.3,14,4,9,3,18,29,3.09,3,0.32,25,13,25,20,9,1,8,12,347,19,82,98,178,45,33,30.3,42.4,172,610,20,12,8,24,12,198,58,24,23,8,21,42,21,27,43.8,5
João Félix,pt POR,Chelsea,"FW,MF",25-173,12,3,369,1,1,2,0,2.2,1.0,21,26,30,0.24,0.24,0.54,0.23,,,,,25.0,1.22,0.05,15.9,171,85.9,663,90.5,91.2,66.7,6,22,8,0,26,18,4.38,3,0.73,8,3,9,4,2,0,2,3,272,2,26,128,125,30,31,32.3,45.2,193,712,21,13,5,6,4,218,30,6,17,1,0,22,4,5,44.4,5
Julio Enciso,py PAR,Ipswich Town,"FW,MF",21-099,10,9,620,1,3,3,0,1.2,1.2,13,22,30,0.15,0.44,0.17,0.18,,,,,35.0,1.02,0.05,22.7,135,70.3,678,76.2,76.1,50.0,9,13,7,1,22,21,3.05,3,0.44,11,8,9,5,2,0,2,1,297,3,40,153,114,12,42,50.0,42.9,147,530,13,14,4,15,24,192,30,7,12,0,11,34,7,16,30.4,5
Julio Enciso,py PAR,Brighton,"MF,FW",21-099,12,2,294,0,0,0,0,1.0,0.2,11,14,17,0.0,0.0,0.31,0.07,,,,,55.0,3.37,0.0,21.3,99,66.0,392,81.3,72.5,22.7,5,13,4,1,14,12,3.69,0,0.0,0,0,2,2,2,0,2,0,202,2,17,72,116,20,21,47.6,38.1,114,386,11,10,4,7,9,141,17,3,7,0,20,15,6,5,54.5,5
Justin Devenny,nir NIR,Crystal Palace,MF,21-203,20,4,429,1,0,1,0,0.7,0.4,4,16,12,0.21,0.0,0.14,0.09,,,,,50.0,0.84,0.13,21.2,120,70.6,518,80.5,69.0,38.1,6,15,4,1,16,11,2.3,0,0.0,14,9,14,7,3,0,3,0,232,7,42,115,80,7,4,50.0,50.0,109,274,4,5,1,16,2,140,12,7,0,1,17,21,2,13,13.3,5
Jáder Durán,co COL,Aston Villa,FW,21-140,20,4,638,7,0,3,1,4.9,0.2,7,13,44,0.99,0.0,0.69,0.03,,,,,48.4,2.12,0.23,15.6,115,70.6,307,81.0,68.0,45.5,4,10,1,0,13,18,2.54,1,0.14,8,7,4,3,5,0,5,0,263,13,36,110,122,47,14,21.4,64.3,133,267,7,7,2,16,15,192,44,14,15,5,3,19,19,19,50.0,5
Kamaldeen Sulemana,gh GHA,Southampton,"FW,MF",23-076,22,13,1122,1,1,1,0,1.3,0.7,56,25,72,0.08,0.08,0.11,0.06,,,,,32.0,0.64,0.04,18.5,235,79.1,514,89.7,81.6,42.3,9,6,11,6,25,27,2.17,3,0.24,16,14,13,5,9,0,9,6,483,13,64,178,259,48,91,36.3,54.9,313,1369,56,34,23,37,22,338,72,18,10,2,24,51,8,20,28.6,5
Kasey McAteer,ie IRL,Leicester City,"FW,MF",23-161,14,5,529,0,1,2,0,0.6,0.5,14,10,48,0.0,0.17,0.1,0.08,,,,,37.5,0.51,0.0,16.7,126,70.4,426,84.0,71.4,55.6,6,6,6,2,10,16,2.72,2,0.34,12,9,19,12,12,1,11,3,257,16,49,100,114,19,16,12.5,62.5,157,433,14,9,7,11,7,174,48,14,13,2,14,30,10,15,40.0,5
Leon Bailey,jm JAM,Aston Villa,"FW,MF",27-266,23,14,1138,1,2,3,0,1.7,1.5,57,35,121,0.08,0.16,0.14,0.12,,,,,21.4,0.47,0.04,17.3,273,70.7,1048,81.4,81.1,47.4,16,16,20,2,35,38,3.01,4,0.32,6,4,10,8,6,0,6,3,539,18,76,155,318,69,57,38.6,42.1,344,1334,57,22,33,35,25,386,121,12,18,3,34,59,6,9,40.0,5
Luis Sinisterra,co COL,Bournemouth,"FW,MF",25-319,12,1,236,1,1,0,0,1.2,1.4,19,6,38,0.38,0.38,0.46,0.54,,,,,46.2,2.29,0.08,14.8,73,78.5,200,91.7,68.8,100.0,9,6,2,2,6,14,5.29,1,0.38,7,2,4,4,3,0,3,1,155,7,18,41,96,23,20,40.0,50.0,95,393,19,6,10,6,3,102,38,4,2,1,7,17,3,7,30.0,5
Marco Asensio,es ESP,Aston Villa,"MF,FW",29-101,9,5,481,3,1,1,0,4.2,0.8,15,31,23,0.56,0.19,0.78,0.15,,,,,47.1,1.5,0.18,18.9,171,80.3,709,90.1,84.1,29.4,12,14,8,2,31,25,4.68,3,0.56,7,5,8,5,2,0,2,1,267,4,25,108,139,22,13,53.8,38.5,165,464,15,18,3,5,7,183,23,8,6,2,22,20,0,1,0.0,5
Marcus Rashford,eng ENG,Manchester Utd,"FW,MF",27-183,15,12,978,4,1,2,0,1.7,2.1,20,21,79,0.37,0.09,0.16,0.19,,,,,56.3,0.83,0.25,16.4,253,73.8,868,83.6,65.9,50.0,15,13,16,8,21,29,2.67,1,0.09,7,4,9,6,8,0,8,4,440,3,35,189,222,34,39,23.1,66.7,293,728,20,19,12,14,6,341,79,8,7,7,27,24,5,7,41.7,5
Marcus Rashford,eng ENG,Aston Villa,FW,27-183,10,4,444,2,2,0,0,3.1,2.3,22,13,42,0.41,0.41,0.62,0.46,,,,,27.8,1.01,0.06,19.4,117,71.3,447,87.0,76.6,36.0,13,2,9,2,13,27,5.49,3,0.61,10,7,6,2,2,0,2,1,227,2,14,58,159,30,22,40.9,59.1,127,471,22,10,15,8,1,149,42,1,3,1,28,14,1,8,11.1,5
Marshall Munetsi,zw ZIM,Wolves,"MF,FW",28-314,10,9,788,1,1,0,0,3.0,1.5,5,8,24,0.11,0.11,0.34,0.17,,,,,33.3,0.57,0.07,14.8,117,73.6,306,80.4,75.0,33.3,7,4,1,0,8,16,1.83,1,0.11,19,9,18,7,9,1,8,5,274,15,41,150,85,24,7,14.3,71.4,106,123,5,3,3,26,11,138,24,13,10,3,5,29,22,17,56.4,5
Mason Mount,eng ENG,Manchester Utd,"MF,FW",26-112,13,4,374,0,0,3,0,1.5,0.2,9,18,20,0.0,0.0,0.35,0.05,,,,,30.0,0.72,0.0,15.8,123,79.9,385,85.7,79.5,60.0,5,9,3,1,18,14,3.37,0,0.0,8,2,8,2,7,1,6,2,200,3,27,95,81,18,4,0.0,75.0,130,278,9,9,2,9,9,151,20,13,7,0,9,11,3,6,33.3,5
Mathys Tel,fr FRA,Tottenham,FW,20-005,9,7,559,2,0,0,0,2.2,0.9,16,13,50,0.32,0.0,0.35,0.15,,,,,33.3,0.97,0.06,15.7,132,73.3,474,84.7,72.6,70.8,9,9,9,4,13,15,2.42,0,0.0,6,2,7,5,3,0,3,0,266,1,27,95,152,30,30,26.7,60.0,182,551,16,16,7,16,9,192,50,6,7,0,25,27,1,2,33.3,5
Mats Wieffer,nl NED,Brighton,"MF,DF",25-167,21,6,692,1,2,4,0,0.7,1.3,12,49,17,0.13,0.26,0.1,0.17,,,,,50.0,0.52,0.13,12.9,452,86.4,1967,91.0,88.7,75.0,12,45,5,1,49,25,3.25,3,0.39,33,19,27,11,13,1,12,11,635,30,145,345,154,14,11,36.4,54.5,374,761,12,14,1,11,8,412,17,17,6,1,7,54,23,18,56.1,5
