Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Abdul Fatawu Issahaku,gh GHA,Leicester City,FW,21-055,11,6,579,0,2,0,0,0.4,1.6,42,17,60,0.0,0.31,0.06,0.24,,,,,38.5,0.78,0.0,31.2,123,62.4,601,72.8,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,42,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9,5
Adam Armstrong,eng ENG,Southampton,"FW,MF",28-081,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,,,,,28.0,0.5,0.08,16.6,231,80.2,446,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7,5
Antony,br BRA,Manchester Utd,"DF,MF",25-067,8,0,141,0,0,0,0,1.0,0.1,5,6,7,0.0,0.0,0.65,0.08,,,,,50.0,1.91,0.0,15.8,56,81.2,111,88.2,64.3,100.0,3,1,5,2,6,8,5.11,0,0.0,6,3,5,3,2,0,2,2,101,2,22,26,54,8,11,36.4,54.5,60,182,5,6,1,5,1,69,7,2,5,0,5,11,0,1,0.0,5
Beto,gw GNB,Everton,FW,27-091,26,11,1192,6,0,2,0,6.1,0.8,12,9,62,0.45,0.0,0.46,0.06,,,,,51.4,1.36,0.17,13.6,116,56.6,177,68.0,48.5,87.5,8,5,3,1,9,17,1.28,0,0.0,13,6,8,3,7,1,6,3,403,21,41,182,185,65,32,53.1,43.8,210,387,12,9,9,53,32,291,62,29,18,14,3,29,74,86,46.3,5
Bobby De Cordova-Reid,jm JAM,Leicester City,FW,32-089,23,9,744,1,2,2,0,0.8,1.2,14,15,48,0.12,0.24,0.1,0.15,,,,,42.9,0.36,0.14,25.1,145,70.4,587,81.5,73.6,33.3,6,9,5,0,15,13,1.57,3,0.36,9,4,14,10,6,1,5,0,272,15,49,114,109,16,10,0.0,80.0,174,389,14,5,6,11,10,188,48,9,9,4,15,29,6,14,30.0,5
Brajan Gruda,de GER,Brighton,"FW,MF",20-336,17,6,507,0,3,0,0,0.4,1.2,16,17,47,0.0,0.53,0.07,0.22,,,,,50.0,0.36,0.0,16.8,138,73.4,612,82.6,71.1,38.1,14,7,10,1,17,26,4.61,4,0.71,14,6,14,7,8,0,8,2,259,4,33,89,141,33,23,39.1,43.5,152,491,16,17,10,9,20,170,47,6,9,1,17,19,3,4,42.9,5
Cameron Archer,eng ENG,Southampton,FW,23-285,31,13,1361,2,0,0,0,5.1,0.4,19,14,62,0.13,0.0,0.34,0.02,,,,,33.3,0.6,0.07,13.1,189,81.1,337,85.6,91.4,55.6,3,6,7,0,14,17,1.13,0,0.0,11,7,9,7,5,1,4,2,360,16,59,161,143,49,31,45.2,51.6,207,499,19,9,14,33,24,253,62,16,12,7,3,34,8,27,22.9,5
Carlos Alcaraz,ar ARG,Everton,"FW,MF",22-153,11,4,491,1,1,3,0,1.3,1.3,14,27,10,0.18,0.18,0.24,0.23,,,,,31.6,1.1,0.05,20.4,147,76.6,703,85.1,86.5,57.7,10,12,15,2,27,23,4.22,2,0.37,11,5,9,6,5,1,4,3,264,10,47,111,112,14,14,64.3,28.6,145,502,14,15,2,11,10,169,10,9,6,1,9,24,10,6,62.5,5
Christian Eriksen,dk DEN,Manchester Utd,MF,33-077,20,11,994,0,1,4,0,0.3,2.6,10,49,29,0.0,0.09,0.03,0.24,,,,,11.1,0.09,0.0,24.8,548,79.5,2818,91.9,80.3,49.1,23,53,8,2,49,45,4.07,6,0.54,19,9,24,13,13,4,9,7,778,24,160,376,246,13,3,0.0,100.0,424,677,10,11,0,11,5,514,29,8,3,0,74,59,2,5,28.6,5
Christopher Nkunku,fr FRA,Chelsea,FW,27-169,27,9,921,3,2,2,0,4.8,2.1,17,25,68,0.29,0.2,0.47,0.21,,,,,44.0,1.07,0.12,12.6,299,89.5,760,91.6,92.2,100.0,14,26,7,0,25,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37.0,51.9,280,628,17,16,13,18,17,356,68,16,11,3,4,29,16,22,42.1,5
