Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Abdoulaye Doucouré,ml MLI,Everton,MF,32-121,30,29,2425,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,,,,,31.0,0.33,0.1,13.8,676,79.6,2133,85.1,83.1,72.7,26,44,14,0,78,54,2.0,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3,1
Adam Wharton,eng ENG,Crystal Palace,MF,20-334,19,15,1258,0,2,2,0,0.3,3.0,14,105,10,0.0,0.14,0.02,0.21,,,,,41.7,0.36,0.0,25.8,521,75.6,3632,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,198,10,10,20.0,80.0,413,1021,14,22,2,14,13,509,10,12,21,0,35,96,7,16,30.4,1
Amadou Onana,be BEL,Aston Villa,MF,23-259,22,17,1348,3,0,4,0,2.1,0.3,20,58,13,0.2,0.0,0.14,0.02,,,,,35.3,0.4,0.18,14.7,589,88.4,2316,94.4,89.9,71.4,7,52,8,1,58,25,1.67,4,0.27,46,24,24,10,14,6,8,24,836,60,227,490,132,20,17,64.7,17.6,459,1237,20,20,1,10,9,563,13,30,23,0,1,64,25,18,58.1,1
Andreas Pereira,br BRA,Fulham,MF,29-121,31,23,1879,2,4,7,0,3.5,4.5,27,99,78,0.1,0.19,0.17,0.21,,,,,22.9,0.38,0.06,22.1,641,68.9,3703,83.6,78.3,41.0,56,64,19,4,99,101,4.84,8,0.38,22,12,40,30,16,2,14,8,1096,17,156,446,511,39,29,44.8,27.6,556,1266,27,35,8,26,21,648,78,27,23,1,168,97,12,21,36.4,1
André,br BRA,Wolves,MF,23-290,29,27,2170,0,0,7,0,0.4,0.7,8,92,11,0.0,0.0,0.01,0.03,,,,,12.5,0.04,0.0,25.8,1074,92.7,4713,95.3,95.2,79.3,14,97,4,0,92,43,1.78,3,0.12,76,46,56,24,40,8,32,32,1402,80,380,905,131,3,26,50.0,34.6,768,1386,8,14,0,27,17,941,11,34,32,0,0,172,2,6,25.0,1
Ashley Young,eng ENG,Everton,"DF,FW",39-297,28,17,1613,1,3,6,1,0.3,1.6,20,82,26,0.06,0.17,0.01,0.09,,,,,50.0,0.17,0.17,24.5,606,70.0,5014,87.9,76.1,40.4,19,71,18,9,82,37,2.06,6,0.33,50,28,50,19,10,3,7,23,1034,51,314,448,277,9,14,35.7,50.0,409,1210,20,24,1,8,1,528,26,24,17,0,64,61,10,10,50.0,1
Ben Johnson,eng ENG,Ipswich Town,"DF,FW",25-098,22,14,1348,1,2,5,1,1.1,1.3,16,26,33,0.07,0.13,0.07,0.09,,,,,42.9,0.2,0.14,12.6,296,71.5,2035,86.2,74.8,49.0,12,21,3,2,26,23,1.54,5,0.33,38,22,41,21,22,5,17,13,624,60,245,219,163,12,24,33.3,58.3,259,585,16,12,3,23,17,290,33,27,6,1,37,57,19,18,51.4,1
Bilal El Khannouss,ma MAR,Leicester City,MF,20-357,29,24,1920,2,2,4,0,0.9,3.2,61,118,77,0.09,0.09,0.04,0.15,,,,,26.1,0.28,0.09,22.8,714,75.2,3604,85.8,81.0,57.1,31,81,27,5,118,59,2.77,4,0.19,46,26,28,13,19,4,15,6,1126,16,163,584,391,27,46,58.7,37.0,649,1788,61,38,9,35,34,753,77,27,9,1,78,83,19,19,50.0,1
Boubacar Kamara,fr FRA,Aston Villa,MF,25-160,22,16,1373,0,0,2,0,0.4,0.9,16,72,5,0.0,0.0,0.02,0.06,,,,,14.3,0.07,0.0,21.1,674,89.2,3373,93.5,91.4,53.1,10,77,8,0,72,24,1.57,2,0.13,46,19,51,25,17,7,10,16,911,88,288,520,109,8,22,36.4,31.8,467,1082,16,11,1,9,11,610,5,23,26,0,1,67,16,21,43.2,1
Boubakary Soumaré,fr FRA,Leicester City,MF,26-064,27,23,1953,0,0,8,0,0.3,0.4,31,94,21,0.0,0.0,0.01,0.02,,,,,0.0,0.0,0.0,23.4,982,86.7,4015,91.9,87.6,70.4,11,90,13,2,94,34,1.57,3,0.14,33,18,30,12,19,7,12,24,1318,62,348,833,150,17,44,61.4,29.5,787,1881,31,16,3,20,21,925,21,21,21,0,8,130,19,9,67.9,1
