Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Aaron Cresswell,eng ENG,West Ham,DF,35-138,14,7,589,0,0,2,0,0.1,1.1,4,24,2,0.0,0.0,0.02,0.17,,,,,0.0,0.0,0.0,29.8,355,80.7,2697,90.8,85.9,54.9,7,40,4,1,24,12,1.83,0,0.0,8,4,8,2,7,4,3,6,495,33,196,236,68,1,1,100.0,0.0,200,388,4,7,0,3,0,312,2,3,1,0,27,21,7,6,53.8,0
Aaron Ramsdale,eng ENG,Southampton,GK,26-353,26,26,2340,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.31,67.5,7.7,28.6,,0.0,,,691,64.4,15067,99.5,95.9,38.7,0,32,1,0,0,3,0.12,0,0.0,0,0,2,2,0,0,0,2,1154,835,1132,25,0,0,0,,,701,2092,0,0,0,2,0,628,0,1,4,0,0,19,5,0,100.0,0
Abdukodir Khusanov,uz UZB,Manchester City,DF,21-062,6,6,503,0,0,1,0,0.0,0.1,1,25,2,0.0,0.0,0.0,0.02,,,,,0.0,0.0,0.0,23.9,360,91.1,1976,94.7,97.0,26.1,2,23,0,0,25,5,0.89,0,0.0,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0,0
Adam Lallana,eng ENG,Southampton,MF,36-357,14,5,361,0,2,4,0,0.2,0.9,6,24,10,0.0,0.5,0.04,0.23,,,,,0.0,0.0,0.0,18.1,221,85.0,980,89.1,91.0,44.4,4,21,9,3,24,9,2.24,2,0.5,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0,0
Adam Smith,eng ENG,Bournemouth,DF,34-003,22,17,1409,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,,,,,0.0,0.0,0.0,16.9,436,75.7,2372,88.0,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,12,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0,0
Adam Webster,eng ENG,Brighton,DF,30-118,11,8,617,0,0,0,0,0.0,0.5,7,40,2,0.0,0.0,0.0,0.07,,,,,100.0,0.15,0.0,15.3,429,85.6,3140,95.5,91.8,50.6,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0,0
Albert Grønbaek,dk DEN,Southampton,"FW,MF",23-344,4,2,143,0,0,0,0,0.1,0.0,1,1,3,0.0,0.0,0.07,0.01,,,,,0.0,0.0,0.0,22.4,13,72.2,43,81.8,50.0,,1,2,0,0,1,2,1.26,0,0.0,4,1,10,7,1,1,0,0,38,2,9,14,15,2,4,0.0,100.0,18,15,1,0,1,5,4,21,3,0,1,0,1,6,2,0,100.0,0
Alex McCarthy,eng ENG,Southampton,GK,35-150,5,5,450,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.6,70.3,0.0,0.0,,0.0,,,117,75.0,1985,95.3,91.8,49.2,0,5,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,173,141,173,0,0,0,0,,,100,276,0,0,0,0,0,88,0,0,1,0,0,4,2,0,100.0,0
Alex Palmer,eng ENG,Ipswich Town,GK,28-265,10,10,900,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.5,60.0,0.0,0.0,,0.0,,,207,65.5,4920,95.3,100.0,43.1,1,6,0,0,1,2,0.2,0,0.0,0,0,0,0,0,0,0,0,359,301,353,7,0,0,0,,,157,538,0,0,0,1,0,112,0,1,2,0,0,14,3,0,100.0,0
Alex Scott,eng ENG,Bournemouth,MF,21-254,17,7,683,0,0,2,0,0.7,0.8,14,48,32,0.0,0.0,0.09,0.11,,,,,38.5,0.66,0.0,20.0,252,82.9,1262,88.7,91.5,59.4,10,37,4,0,48,27,3.55,2,0.26,25,12,38,21,15,3,12,10,437,21,78,237,127,17,25,20.0,52.0,232,586,14,8,2,22,8,262,32,10,26,0,5,49,6,7,46.2,0
