Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Lewis Hall,eng ENG,Newcastle Utd,DF,20-236,27,24,2189,0,4,3,0,0.4,4.3,41,123,80,0.0,0.16,0.02,0.18,,,,,9.1,0.04,0.0,18.8,1300,81.7,8891,91.3,85.1,51.5,34,114,17,5,123,63,2.59,6,0.25,58,41,74,34,33,18,15,18,1820,95,623,804,414,47,21,52.4,33.3,950,2358,41,22,13,33,20,1094,80,9,21,1,110,119,30,31,49.2,3
Lucas Paquetá,br BRA,West Ham,"MF,FW",27-248,30,26,2257,4,0,8,0,5.2,3.0,20,140,82,0.16,0.0,0.21,0.12,,,,,7.9,0.12,0.05,19.6,1047,77.4,5517,84.0,79.3,63.5,35,121,41,4,140,78,3.11,6,0.24,63,35,49,25,27,4,23,17,1672,58,338,919,428,56,42,40.5,47.6,862,1255,20,31,2,51,50,1181,82,49,57,6,28,140,47,57,45.2,3
Martin Ødegaard,no NOR,Arsenal,MF,26-136,26,23,2040,2,6,4,0,4.4,4.6,79,231,142,0.09,0.26,0.2,0.2,,,,,31.7,0.57,0.02,18.7,1099,82.6,4925,90.3,87.1,53.0,56,115,78,5,231,112,4.95,13,0.57,19,11,24,20,4,0,4,4,1494,6,98,625,785,104,54,40.7,55.6,1031,3279,79,72,23,28,38,1188,142,10,20,1,80,86,8,7,53.3,3
Mateo Kovačić,hr CRO,Manchester City,MF,30-361,28,22,1960,6,1,5,0,1.7,3.5,51,142,15,0.28,0.05,0.08,0.16,,,,,31.6,0.55,0.16,22.2,1523,92.5,6173,95.0,95.6,62.5,28,178,27,0,142,59,2.71,6,0.28,61,36,59,32,19,0,19,20,1859,48,274,1063,543,16,38,52.6,28.9,1259,3432,51,71,3,16,29,1506,15,22,22,0,0,109,9,7,56.3,3
Mateus Fernandes,pt POR,Southampton,MF,20-296,32,30,2584,2,3,8,0,3.7,2.6,72,130,99,0.07,0.1,0.13,0.09,,,,,36.8,0.49,0.05,18.6,977,79.7,3879,87.9,85.4,54.9,30,89,21,4,130,68,2.37,6,0.21,81,43,61,31,39,5,34,21,1577,57,336,774,503,45,96,44.8,45.8,814,2926,72,65,8,50,33,976,99,40,52,3,102,162,13,9,59.1,3
Mikkel Damsgaard,dk DEN,Brentford,"MF,FW",24-303,34,30,2578,2,10,2,0,2.6,7.6,63,209,117,0.07,0.35,0.09,0.26,,,,,21.9,0.24,0.06,17.5,984,73.0,6717,85.6,73.3,53.6,57,149,66,17,209,112,3.91,21,0.73,74,41,71,44,34,2,32,25,1659,34,303,756,622,70,90,52.2,35.6,943,2679,63,42,9,53,43,1100,117,17,26,6,122,156,12,25,32.4,3
Milos Kerkez,hu HUN,Bournemouth,DF,21-176,34,34,2987,2,5,4,0,0.5,3.4,93,143,163,0.06,0.15,0.02,0.1,,,,,29.4,0.15,0.12,20.4,1175,75.2,6200,89.1,77.9,36.5,31,79,35,22,143,75,2.26,9,0.27,49,26,36,14,36,11,25,40,1915,104,494,805,639,57,44,45.5,31.8,952,3268,93,65,15,43,18,1032,163,27,44,1,120,153,25,46,35.2,3
Moisés Caicedo,ec ECU,Chelsea,MF,23-181,34,34,2991,1,2,10,0,0.8,2.9,38,194,33,0.03,0.06,0.02,0.09,,,,,16.7,0.09,0.06,25.1,1792,89.7,8211,92.2,92.5,77.8,28,215,31,2,194,90,2.71,7,0.21,100,63,80,30,44,9,35,47,2340,85,502,1442,421,12,54,42.6,35.2,1308,2919,38,28,2,35,23,1642,33,61,54,0,8,197,30,15,66.7,3
Morgan Gibbs-White,eng ENG,Nott'ham Forest,MF,25-095,30,30,2451,5,7,10,1,4.7,4.5,63,145,116,0.18,0.26,0.17,0.16,,,,,34.0,0.66,0.09,17.0,861,78.1,4094,85.1,81.0,58.1,46,114,35,7,145,101,3.71,17,0.62,39,18,30,15,14,4,10,18,1427,33,169,721,560,86,75,40.0,45.3,811,2350,63,46,12,66,39,1071,116,33,36,7,37,114,37,47,44.0,3
Pedro Porro,es ESP,Tottenham,DF,25-231,31,26,2463,2,6,4,0,1.5,4.0,63,147,106,0.07,0.22,0.06,0.15,,,,,21.6,0.29,0.05,23.1,1324,73.5,9131,87.5,79.3,44.2,54,120,55,26,147,104,3.8,8,0.29,63,46,73,31,44,17,27,34,2131,124,623,772,749,30,39,33.3,61.5,1132,2677,63,40,5,23,17,1229,106,24,30,1,191,148,11,22,33.3,3
Rayan Aït-Nouri,dz ALG,Wolves,DF,23-330,33,33,2775,4,7,7,1,2.4,4.7,74,96,156,0.13,0.23,0.08,0.15,,,,,25.0,0.26,0.13,15.1,1280,83.8,5293,93.3,86.4,41.1,36,66,27,9,96,75,2.43,12,0.39,81,51,66,25,40,6,34,22,1898,85,519,810,592,82,112,48.2,39.3,980,2762,74,53,23,40,41,1155,156,28,38,5,83,131,20,28,41.7,3
Ryan Christie,sct SCO,Bournemouth,MF,30-069,29,27,2117,2,3,9,0,1.8,3.5,34,137,44,0.09,0.13,0.08,0.15,,,,,36.4,0.51,0.06,19.6,837,79.3,4269,88.2,87.9,48.8,41,118,33,5,137,85,3.62,9,0.38,54,33,64,37,44,11,33,30,1376,74,256,773,372,46,48,47.9,45.8,726,1773,34,40,8,44,25,777,44,43,31,1,48,182,20,28,41.7,3
Ryan Gravenberch,nl NED,Liverpool,MF,22-351,34,34,2921,0,4,5,0,1.0,2.9,65,168,54,0.0,0.12,0.03,0.09,,,,,27.8,0.15,0.0,24.7,1595,88.9,5935,92.5,91.7,60.8,25,140,32,1,168,65,2.0,6,0.18,65,34,51,21,34,10,24,57,2176,104,446,1274,485,23,75,48.0,37.3,1286,3408,65,71,9,48,21,1548,54,42,46,0,6,182,26,14,65.0,3
Thomas Partey,gh GHA,Arsenal,"MF,DF",31-323,31,27,2437,4,2,4,0,2.0,1.9,31,165,45,0.15,0.07,0.07,0.07,,,,,30.4,0.26,0.17,19.5,1486,87.7,6336,93.0,89.0,67.2,17,146,33,2,165,56,2.07,13,0.48,79,48,68,25,23,7,16,32,1928,64,401,1061,477,27,30,66.7,26.7,1087,3091,31,36,3,20,14,1373,45,39,27,1,12,120,26,21,55.3,3
Trent Alexander-Arnold,eng ENG,Liverpool,DF,26-207,30,27,2240,3,6,5,0,1.8,6.7,49,211,87,0.12,0.24,0.07,0.27,,,,,19.0,0.32,0.07,23.5,1357,73.6,10688,89.8,76.1,49.3,50,192,62,20,211,93,3.73,10,0.4,70,49,101,53,25,8,17,30,2111,85,565,942,618,42,31,45.2,48.4,1109,2732,49,35,8,19,15,1342,87,11,7,1,142,126,3,13,18.8,3
Tyrick Mitchell,eng ENG,Crystal Palace,DF,25-243,34,34,2852,0,4,2,0,1.2,5.6,56,62,160,0.0,0.13,0.04,0.18,,,,,18.2,0.06,0.0,13.4,904,72.2,5536,84.3,74.5,42.3,37,45,31,14,62,66,2.08,5,0.16,85,52,41,20,62,12,50,14,1614,104,560,615,452,42,31,41.9,48.4,742,1555,56,33,9,35,28,827,160,20,22,2,97,152,18,21,46.2,3
Youri Tielemans,be BEL,Aston Villa,MF,27-360,34,34,2915,2,7,4,0,3.0,6.9,37,226,44,0.06,0.22,0.09,0.21,,,,,30.6,0.34,0.06,20.4,1639,82.4,9982,90.1,87.6,53.8,59,221,35,4,226,116,3.58,12,0.37,82,56,72,33,36,15,21,21,2296,97,460,1324,537,41,57,52.6,31.6,1242,2466,37,26,9,30,28,1610,44,40,53,0,115,140,22,18,55.0,3
İlkay Gündoğan,de GER,Manchester City,MF,34-190,30,22,1967,0,5,1,0,2.7,2.7,55,113,81,0.0,0.23,0.13,0.12,,,,,20.0,0.23,0.0,18.3,1374,89.3,3984,94.2,92.1,62.3,36,93,21,2,113,72,3.29,10,0.46,24,13,23,13,14,0,14,13,1707,43,254,825,648,56,35,45.7,37.1,1016,2735,55,52,9,25,23,1330,81,14,21,0,57,104,13,11,54.2,3
