Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Calvin Bassey,ng NGA,Fulham,DF,25-122,32,31,2804,1,0,6,0,1.0,0.1,35,104,13,0.03,0.0,0.03,0.0,,,,,28.6,0.13,0.07,15.3,1759,89.6,10730,94.9,94.0,60.3,2,135,2,0,104,22,0.71,3,0.1,51,32,28,8,37,17,20,18,2245,294,1099,1050,120,18,29,44.8,34.5,1443,4343,35,17,5,32,8,1559,13,24,30,2,6,155,40,31,56.3,2
Cristian Romero,ar ARG,Tottenham,DF,27-005,18,18,1416,1,0,3,0,1.6,0.6,12,71,3,0.06,0.0,0.1,0.04,,,,,50.0,0.51,0.06,9.1,1094,89.5,8197,91.4,94.7,63.5,7,109,8,1,71,20,1.27,4,0.25,35,29,30,9,18,3,15,21,1377,157,594,720,74,23,4,25.0,50.0,896,2893,12,18,0,10,5,936,3,14,12,2,3,90,41,27,60.3,2
Dan Burn,eng ENG,Newcastle Utd,DF,32-358,33,33,2970,1,0,10,0,1.7,0.9,9,56,10,0.03,0.0,0.05,0.03,,,,,25.0,0.15,0.05,9.9,1578,89.4,9967,91.0,94.8,62.3,8,35,7,0,56,21,0.64,3,0.09,33,19,32,15,32,23,9,25,2104,335,1183,823,103,46,4,75.0,25.0,1203,2383,9,5,1,21,3,1417,10,28,11,5,2,91,127,62,67.2,2
Dara O'Shea,ie IRL,Ipswich Town,DF,26-059,31,31,2762,0,2,6,0,1.1,0.5,3,70,7,0.0,0.07,0.04,0.02,,,,,10.5,0.07,0.0,13.7,1084,77.7,9474,86.4,84.8,50.4,3,81,3,1,70,20,0.65,3,0.1,45,28,31,11,59,47,12,31,1797,359,1046,643,113,47,2,50.0,50.0,795,1713,3,2,0,11,4,1018,7,16,22,3,6,98,100,77,56.5,2
Dean Huijsen,es ESP,Bournemouth,DF,20-018,28,23,2144,2,1,8,0,1.7,2.0,36,112,10,0.08,0.04,0.07,0.08,,,,,11.8,0.08,0.12,12.3,1147,83.6,9179,89.1,91.4,60.5,14,142,7,2,112,38,1.6,3,0.13,33,23,25,10,35,27,8,49,1723,229,786,824,122,29,5,40.0,60.0,937,3725,36,24,0,16,1,1050,10,28,9,2,12,93,63,41,60.6,2
Ethan Pinnock,jm JAM,Brentford,DF,31-338,22,21,1913,2,0,2,0,1.1,1.2,3,41,9,0.09,0.0,0.05,0.05,,,,,60.0,0.28,0.2,11.1,924,85.6,6094,94.2,89.4,57.9,8,48,4,1,41,21,0.99,0,0.0,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,33.3,66.7,633,1633,3,4,0,2,4,760,9,8,4,0,9,50,63,43,59.4,2
Ezri Konsa,eng ENG,Aston Villa,DF,27-191,30,29,2576,1,0,0,0,0.9,0.4,16,73,11,0.03,0.0,0.03,0.01,,,,,33.3,0.1,0.11,9.1,1372,92.7,7566,96.3,95.7,65.0,5,93,1,0,73,23,0.8,3,0.1,32,17,22,4,17,9,8,21,1693,213,795,807,99,20,17,41.2,41.2,986,2465,16,11,2,16,9,1177,11,6,42,0,5,86,27,21,56.3,2
Fabian Schär,ch SUI,Newcastle Utd,DF,33-133,30,29,2575,4,0,7,1,2.1,0.4,14,95,17,0.14,0.0,0.07,0.01,,,,,34.5,0.35,0.14,21.8,1458,83.6,11249,92.5,92.7,51.4,5,139,10,0,95,27,0.94,3,0.1,32,19,34,20,36,24,12,40,2034,237,1061,857,127,31,12,66.7,16.7,1284,3313,14,23,2,11,6,1417,17,31,12,4,9,123,40,61,39.6,2
Gabriel Magalhães,br BRA,Arsenal,DF,27-134,28,28,2363,3,1,4,0,2.6,0.9,10,126,11,0.11,0.04,0.1,0.03,,,,,22.7,0.19,0.14,9.5,1480,90.2,7938,96.9,94.2,53.9,13,145,8,0,126,35,1.33,6,0.23,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,80.0,20.0,1116,2669,10,22,0,9,2,1366,11,19,19,0,9,63,53,37,58.9,2
Harry Maguire,eng ENG,Manchester Utd,DF,32-058,23,17,1483,1,0,7,0,1.4,0.3,6,43,6,0.06,0.0,0.09,0.02,,,,,41.7,0.3,0.08,7.9,812,86.2,5135,91.8,91.0,58.3,6,42,3,0,43,17,1.03,0,0.0,26,13,17,4,14,12,2,37,1117,136,560,509,62,37,5,40.0,60.0,658,1644,6,6,3,6,2,722,6,17,8,1,2,53,51,21,70.8,2
Ibrahima Konaté,fr FRA,Liverpool,DF,25-342,28,27,2320,1,2,5,0,1.7,1.0,21,103,3,0.04,0.08,0.07,0.04,,,,,16.7,0.12,0.06,10.5,1581,90.3,10055,93.7,95.1,55.7,10,125,8,0,103,30,1.16,7,0.27,36,25,34,10,27,15,12,12,2005,211,854,1047,110,22,4,50.0,25.0,1184,3160,21,13,0,8,2,1454,3,26,18,0,0,86,72,28,72.0,2
Illia Zabarnyi,ua UKR,Bournemouth,DF,22-243,32,31,2752,0,0,3,1,1.1,0.6,24,125,4,0.0,0.0,0.03,0.02,,,,,0.0,0.0,0.0,9.8,1216,81.3,9553,90.1,90.6,52.8,11,131,6,0,125,28,0.92,0,0.0,46,32,43,13,33,20,13,35,1809,214,842,920,67,13,8,62.5,25.0,1124,4327,24,20,0,14,3,1128,4,17,6,0,5,140,70,40,63.6,2
Jacob Greaves,eng ENG,Ipswich Town,DF,24-232,21,21,1845,1,0,5,0,1.2,0.0,6,51,7,0.05,0.0,0.06,0.0,,,,,50.0,0.2,0.13,8.3,791,86.4,5007,93.1,90.1,41.4,2,59,1,0,51,13,0.63,0,0.0,31,14,26,9,36,24,12,18,1141,244,619,455,71,15,3,66.7,33.3,524,925,6,9,0,7,2,704,7,11,18,1,0,43,58,38,60.4,2
James Tarkowski,eng ENG,Everton,DF,32-164,33,33,2922,1,1,6,0,1.3,2.9,9,75,3,0.03,0.03,0.04,0.09,,,,,26.7,0.12,0.07,8.4,1045,81.0,8229,84.5,91.9,62.7,16,83,11,0,75,38,1.17,4,0.12,64,40,39,15,57,42,15,41,1706,355,974,635,106,57,7,71.4,28.6,727,1943,9,10,0,13,7,927,3,35,28,2,1,98,102,33,75.6,2
